Région,Département,N° bowling,Bowling / Ville
ARA,01,007,VAUX EN BUGEY
ARA,01,003,ST DENIS LES BOURGS
ARA,03,002,MOULINS - L'ENJOY-AVERMES
ARA,03,004,SPACEBOWL - CUSSET
ARA,15,002,YTRAC
ARA,26,001,SAINT PAUL 3 CHATEAUX
ARA,38,001,ECHIROLLES
ARA,42,006,VILLARS
ARA,63,001,CLERMONT FERRAND BREZET
ARA,63,002,MONT DORE
ARA,63,004,CLERMONT FERRAND BBOWL
ARA,69,007,CIVRIEUX D'AZERGUES
ARA,69,009,DECINES CHARPIEU
ARA,73,001,ALBERTVILLE
ARA,73,005,CHAMBERY VOGLANS
ARA,73,007,COURCHEVEL
ARA,73,,LA PLAGNE
BFC,25,005,AUDINCOURT STAR BOWL
BFC,25,010,MISEREY SALINES AUX ATELIERS
BFC,39,003,LA CHAUMUSSE
BFC,70,001,VESOUL
BFC,71,001,TORCY
BFC,71,005,VITRY EN CHAROLLAIS
BFC,89,001,MONETEAU/AUXERRE
BFC,89,002,AVALLON
BFC,90,001,BELFORT
BRE,22,005,DINAN TADEN
BRE,22,007,TREGUEUX
BRE,29,004,MORLAIX
BRE,35,,CAP MALO RENNES
BRE,56,001,CARNAC
BRE,56,003,VANNES
BRE,56,006,PONTIVY
CVL,18,001,ST DOULCHARD
CVL,18,007,VIERZON
CVL,28,003,NOGENT LE ROTROU
CVL,37,002,NOTRE DAME D'OE
CVL,41,001,BLOIS
CVL,45,001,ORLEANS
CVL,45,003,SARAN
GRE,08,003,DOUZY
GRE,10,002,TROYES
GRE,51,001,TINQUEUX
GRE,51,003,THILLOIS
GRE,51,004,CHALONS EN CHAMPAGNE
GRE,57,004,ST JULIEN LES METZ
GRE,67,004,DORLISHEIM
GRE,67,,SELESTAT
GRE,68,002,WITTELSHEIM
GRE,68,005,SAINT LOUIS
GRE,88,003,EPINAL
GRE,88,006,CONTREXEVILLE
HDF,59,001,LOMME
HDF,59,005,LILLE
HDF,59,006,VILLENEUVE D'ASCQ
HDF,59,010,HAZEBROUCK
HDF,59,008,DOUAI
HDF,60,003,ST MAXIMIN
HDF,80,001,CAMON
IDF,75,006,PARIS FRONT DE SEINE
IDF,77,009,MOUSSY LE NEUF
IDF,78,001,RAMBOUILLET
IDF,78,018,HOUDAN
IDF,91,003,BOUSSY SAINT ANTOINE
IDF,92,001,COURBEVOIE
IDF,94,004,THIAIS ORLY
NOR,14,006,VIRE
NOR,14,007,BAYEUX
NOR,27,005,LA FONDERIE
NOR,27,006,HONGUEMARE GUENOUVILLE
NOR,50,003,CHERBOURG
NOR,61,003,ARGENTAN
NOR,76,004,GRAND QUEVILLY
NOR,76,005,NOTRE DAME DE GRAVENCHON
NOR,76,011,YVETOT
NAQ,16,001,ANGOULEME
NAQ,16,002,COGNAC
NAQ,17,001,LA ROCHELLE
NAQ,17,002,LA ROCHELLE LAGORD
NAQ,17,002,SAINTES
NAQ,17,004,MESCHERS SUR GIRONDE
NAQ,24,002,BERGERAC
NAQ,24,003,TRELISSAC
NAQ,33,002,BORDEAUX MERIADECK
NAQ,33,,BORDEAUX IVAZIO ISLAND
NAQ,40,,YZOSSE
NAQ,47,001,AGEN
NAQ,64,002,PAU
NAQ,64,006,BAYONNE
NAQ,79,002,BRESSUIRE
NAQ,79,002,CHAURAY
NAQ,86,003,BUXEROLLES
NAQ,86,004,FONTAINE LE COMTE
NAQ,87,001,LIMOGES
OCC,11,001,CARCASSONNE
OCC,12,002,RODEZ
OCC,30,001,NIMES
OCC,30,002,CAISSARGUES
OCC,31,005,COLOMIERS
OCC,34,001,MONTPELLIER
OCC,65,003,LANNEMEZAN
OCC,66,007,RIVESALTES
PDL,44,002,SAINT NAZAIRE
PDL,44,003,NANTES ST SEBASTIEN
PDL,49,001,ANGERS BEAUCOUZE
PDL,72,001,LE MANS
PDL,85,001,CHALLANS
PDL,85,004,SAINT HILAIRE DE RIEZ
PDL,85,006,LES HERBIERS
PAC,06,002,CANNES
PAC,13,006,PLAN DE CAMPAGNE
PAC,13,010,SALON DE PROVENCE
PAC,83,001,DRAGUIGNAN
PAC,83,003,TOULON
PAC,83,005,BANDOL
PAC,84,001,AVIGNON
PAC,84,003,PERTUIS
