Club,Région,Département,Nb joueurs,Ville / lieu déduit,Confiance / source
3PBA,HDF,62,14,,aucune donnée (département non listé)
A R A  LYON,ARA,69,39,CIVRIEUX D'AZERGUES,ambigu (plusieurs bowlings dans le département)
A S B BESANCON,BFC,25,32,AUDINCOURT STAR BOWL,ambigu (plusieurs bowlings dans le département)
A S P T T  LIMOGES,NAN,87,56,LIMOGES,déduit (département à bowling unique)
A.B.C. PONT A MOUSSON,GRE,54,12,,aucune donnée (département non listé)
A.B.S.L LILLE,HDF,59,15,LILLE,déduit (correspondance de nom)
A.D.E.B. DRAGUIGNAN,PAC,83,36,DRAGUIGNAN,déduit (correspondance de nom)
A.J.S.L. MEZIERES-SUR-SEINE BOWLING CLUB,IDF,78,9,RAMBOUILLET,ambigu (plusieurs bowlings dans le département)
ABYSSEA BOWLING CLUB CIVAUX,NAN,86,13,BUXEROLLES,ambigu (plusieurs bowlings dans le département)
ACB AMIENOIS,HDF,80,97,CAMON,déduit (département à bowling unique)
ACD 9 BOWLING ANNEMASSE,ARA,74,8,,aucune donnée (département non listé)
AIZENAY BOWLING CLUB (ABC),PDL,85,30,CHALLANS,ambigu (plusieurs bowlings dans le département)
AMICALE BOWLING CLUB I.D.F,IDF,77,24,MOUSSY LE NEUF,déduit (département à bowling unique)
AMICALE BOWLING MONETEAU,BFC,89,6,MONETEAU/AUXERRE,déduit (correspondance de nom)
ANGERS BOWLING CLUB,PDL,49,46,ANGERS BEAUCOUZE,confirmé (calendrier fédéral)
ANGOULEME BOWLING CLUB,NAN,16,91,ANGOULEME,déduit (correspondance de nom)
ANNECY 69,ARA,74,9,,aucune donnée (département non listé)
AQUABOWL DU PERCHE,CVL,28,21,NOGENT LE ROTROU,confirmé (calendrier fédéral)
ARAGO SPORT ORLEANS,CVL,45,12,ORLEANS,déduit (correspondance de nom)
ARRAS BOWLING CLUB,HDF,62,12,,aucune donnée (département non listé)
AS BOWLING  CLUB  LIMOUSIN LIMOGES,NAN,87,37,LIMOGES,confirmé (calendrier fédéral)
AS FAMAT SAINT NAZAIRE,PDL,44,8,SAINT NAZAIRE,déduit (correspondance de nom)
